elap_secs	cum_tps	int_tps	cum_ips	int_ips	cum_excp	int_excp
10	75.04	75.04	0.00	0.00	0	0
20	71.92	68.79	0.00	0.00	0	0
30	66.03	54.23	0.00	0.00	0	0
40	53.52	15.98	0.00	0.00	0	0
50	46.01	15.98	0.00	0.00	0	0
60	41.01	15.98	0.00	0.00	0	0
